------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      2    -6  6.965559764209E-05 -4.798156478335E-05  0.000000000000E+00  0.000000000000E+00
      2    -7 -2.967350058723E-05  3.580061673437E-05  0.000000000000E+00  0.000000000000E+00
      2    -8  3.333598812773E-07  1.521939226570E-06  0.000000000000E+00  0.000000000000E+00
      2    -9 -1.436068514011E-07  5.410091249747E-07  0.000000000000E+00  0.000000000000E+00
      2   -10 -6.092668275007E-07  7.451622152248E-07  0.000000000000E+00  0.000000000000E+00
      2   -11  1.868588354277E-07 -1.462024572603E-07  0.000000000000E+00  0.000000000000E+00
      2   -12 -1.019663048890E-07  1.106985545622E-07  0.000000000000E+00  0.000000000000E+00
      2   -13  2.454054185276E-08 -2.049329933146E-08  0.000000000000E+00  0.000000000000E+00
      2   -14 -8.411942153800E-09  8.931249981254E-09  0.000000000000E+00  0.000000000000E+00
      2   -15  7.881488386192E-10 -4.033046718159E-10  0.000000000000E+00  0.000000000000E+00
      2   -16  2.801367438802E-11  1.274343583589E-11  0.000000000000E+00  0.000000000000E+00
      2   -17 -2.612493465916E-10  2.891122410784E-10  0.000000000000E+00  0.000000000000E+00
      2   -18  1.158469142013E-10 -1.091065344473E-10  0.000000000000E+00  0.000000000000E+00
      2   -19 -5.601201631417E-11  5.656543331336E-11  0.000000000000E+00  0.000000000000E+00
      2   -20  1.689875529006E-11 -1.549093376327E-11  0.000000000000E+00  0.000000000000E+00
      2   -21 -4.834285695279E-12  4.902108854104E-12  0.000000000000E+00  0.000000000000E+00
      2   -22  5.007450075249E-13 -6.681782380605E-13  0.000000000000E+00  0.000000000000E+00
      2   -23 -2.879672411985E-13  5.021102044073E-14  0.000000000000E+00  0.000000000000E+00
      2   -24 -4.653580580778E-13  9.140395553072E-14  0.000000000000E+00  0.000000000000E+00
      3    24 -5.977286807873E-13  1.539449347350E-14  0.000000000000E+00  0.000000000000E+00
      3    23 -2.297121097939E-13 -4.711200979573E-14  0.000000000000E+00  0.000000000000E+00
      3    22  1.417743418324E-13 -4.148058917294E-14  0.000000000000E+00  0.000000000000E+00
      3    21  2.921298728094E-13  1.400209531383E-13  0.000000000000E+00  0.000000000000E+00
      3    20 -1.711318044738E-12 -1.606538812166E-12  0.000000000000E+00  0.000000000000E+00
      3    19  7.374665819421E-12  7.157732583995E-12  0.000000000000E+00  0.000000000000E+00
      3    18 -2.222178626006E-11 -2.170464703996E-11  0.000000000000E+00  0.000000000000E+00
      3    17  5.524033807420E-11  5.574318971958E-11  0.000000000000E+00  0.000000000000E+00
      3    16 -1.101269491181E-10 -1.130287295711E-10  0.000000000000E+00  0.000000000000E+00
      3    15  1.112460132693E-10  1.222911473641E-10  0.000000000000E+00  0.000000000000E+00
      3    14  2.868853522797E-10  2.346532156214E-10  0.000000000000E+00  0.000000000000E+00
      3    13 -2.508470146878E-09 -2.383374784833E-09  0.000000000000E+00  0.000000000000E+00
      3    12  1.043605338410E-08  1.001374914362E-08  0.000000000000E+00  0.000000000000E+00
      3    11 -3.512406512277E-08 -3.460556846665E-08  0.000000000000E+00  0.000000000000E+00
      3    10  9.469066431574E-08  9.347553234999E-08  0.000000000000E+00  0.000000000000E+00
      3     9 -2.133194160462E-07 -2.185109001331E-07  0.000000000000E+00  0.000000000000E+00
      3     8  2.731481350457E-07  2.875590615347E-07  0.000000000000E+00  0.000000000000E+00
      3     7  4.108774071867E-07  3.144457192463E-07  0.000000000000E+00  0.000000000000E+00
      3     6 -5.514732875345E-06 -5.396292312367E-06  0.000000000000E+00  0.000000000000E+00
      3     5  2.776126855526E-05  2.709214918122E-05  0.000000000000E+00  0.000000000000E+00
      3     4 -1.111516250819E-04 -1.101567500698E-04  0.000000000000E+00  0.000000000000E+00
      3     3  3.579930315459E-04  3.450828160196E-04  0.000000000000E+00  0.000000000000E+00
      3     2 -8.023913925042E-04 -7.671193403442E-04  0.000000000000E+00  0.000000000000E+00
      3     1  1.118880443018E-03  9.267351162329E-04  0.000000000000E+00  0.000000000000E+00
      3     0  1.415027594153E-02  1.230479054703E-02  0.000000000000E+00  0.000000000000E+00
      3    -1 -7.830515660719E-02 -6.810644312055E-02  0.000000000000E+00  0.000000000000E+00
      3    -2 -2.079133100385E-02 -9.098977936914E-03  0.000000000000E+00  0.000000000000E+00
      3    -3  1.516606547267E-02 -1.487030838610E-02  0.000000000000E+00  0.000000000000E+00
      3    -4  5.045682044549E-04  4.877057182201E-04  0.000000000000E+00  0.000000000000E+00
      3    -5  2.059763778626E-04 -1.966820010444E-04  0.000000000000E+00  0.000000000000E+00
      3    -6  2.818471290405E-04 -3.237476869362E-04  0.000000000000E+00  0.000000000000E+00
      3    -7 -5.597856235229E-06 -1.575642579550E-06  0.000000000000E+00  0.000000000000E+00
      3    -8  1.883433727048E-05 -1.955159222216E-05  0.000000000000E+00  0.000000000000E+00
      3    -9  2.610267770804E-07 -8.154695549641E-07  0.000000000000E+00  0.000000000000E+00
      3   -10  8.287755127881E-07 -8.939929022746E-07  0.000000000000E+00  0.000000000000E+00
      3   -11  2.912595463208E-07 -3.323633760987E-07  0.000000000000E+00  0.000000000000E+00
